Period,Number. of Issued Cards (Net),,,Debit Card Transaction,,Credit Card Transaction,,Prepaid Card Transaction,,Total  Issued Card Transaction,
,Debit,Credit,Prepaid,Number,Amount,Number,Amount,Number,Amount,Number,Amount
January'20,18611681,1524492,428910,20054587,152695.4,2469512,13570.9,359153,1820.9,22883252,168087.2
December'19,18231093,1505608,413582,20144404,151837.4,2542504,13396.7,326147,1408.5,23013055,166642.6
November'19,17961101,1489650,399407,19066519,137132.5,2346662,11955.1,290463,1335,21703644,150422.6
October'19,17669974,1470210,387728,19364443,141718.4,2311271,11807.8,283195,1276.6,21958909,154802.8
September'19,17440416,1444397,367724,18519147,132739.2,2197317,10063.8,286922,1273.7,21003386,144076.7
August'19,17175101,1428757,351294,19554608,150704.8,2222690,10354.8,271638,1466,22048936,162525.6
July'19,17459889,1416652,338625,18968198,140405.4,2220007,10481.2,271935,1405.5,21460140,152292.1
June'19,16915478,1394675,320235,17339564,126352.9,2066656,11353.9,205608,1177.5,19611828,138884.3
May'19,16487478,1383529,307827,21349587,166227,2280825,12636.7,252755,1454.9,23883167,180318.6
April'19,16151290,1361438,294436,18337142,134757.4,2074129,10976.7,211512,1070.4,20622783,146804.5
March'19,15858222,1349292,281788,17813737,131696.1,1973804,10886.1,198080,1038.8,19985621,143621
February'19,15636374,1331457,272491,16213676,125205.7,1686232,9348.9,171843,942.3,18071751,135496.9
January'19,15244328,1313133,263327,18032004,132451,1925238,11135.8,193842,1107.9,20151084,144694.8
December'18,15069435,1349842,243432,16692928,124488.8,1922428,10432.8,199951,984.9,18815307,135906.5
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
